project,option,vendor_raw,vendor_normalized,trade,source_type,source_path,locator,file_ext,file_size_bytes,status,notes,pdf_proof_bucket
Kite - Sierra Trading Lakewood,unknown,0 Lakewood Towne Center Sierra Trading Invitation To,0 Lakewood Towne Center Sierra Trading Invitation To,unknown,bid_pdf,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/Sierra Trading Company/0 - Lakewood Towne Center - Sierra Trading - Invitation To Bid.pdf,TBD,.pdf,84991,unparsed,Sierra Trading Company/0 - Lakewood Towne Center - Sierra Trading - Invitation To Bid.pdf,NON_QUOTE
Kite - Sierra Trading Lakewood,unknown,1 Lakewood Towne Center Sierra Trading General Contractor Form Part A,1 Lakewood Towne Center Sierra Trading General Contractor Form Part A,unknown,bid_pdf,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/Sierra Trading Company/1 -  Lakewood Towne Center - Sierra Trading - General Contractor Bid Form Part A.pdf,TBD,.pdf,778420,unparsed,Sierra Trading Company/1 -  Lakewood Towne Center - Sierra Trading - General Contractor Bid Form Part A.pdf,NON_QUOTE
Kite - Sierra Trading Lakewood,unknown,1 Lakewood Towne Center Sierra Trading General Contractor Form Part A (Revised),1 Lakewood Towne Center Sierra Trading General Contractor Form Part A (Revised),unknown,bid_pdf,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/Bid Package/1 -  Lakewood Towne Center - Sierra Trading - General Contractor Bid Form Part A (Revised).pdf,TBD,.pdf,778803,unparsed,Bid Package/1 -  Lakewood Towne Center - Sierra Trading - General Contractor Bid Form Part A (Revised).pdf,NON_QUOTE
Kite - Sierra Trading Lakewood,unknown,2025 11 19 Lakewood Towne Center Sierra Trading Clarifications to Bidders 1,2025 11 19 Lakewood Towne Center Sierra Trading Clarifications to Bidders 1,unknown,bid_pdf,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/2025-11-19 - Lakewood Towne Center - Sierra Trading - Clarifications to Bidders 1.pdf,TBD,.pdf,131674,unparsed,2025-11-19 - Lakewood Towne Center - Sierra Trading - Clarifications to Bidders 1.pdf,NON_QUOTE
Kite - Sierra Trading Lakewood,unknown,3 Lakewood Towne Center Sierra Trading KRG Stipulated Sum Contract Template,3 Lakewood Towne Center Sierra Trading KRG Stipulated Sum Contract Template,unknown,bid_pdf,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/Sierra Trading Company/3 - Lakewood Towne Center - Sierra Trading - KRG Stipulated Sum Contract Template.pdf,TBD,.pdf,442214,unparsed,Sierra Trading Company/3 - Lakewood Towne Center - Sierra Trading - KRG Stipulated Sum Contract Template.pdf,NON_QUOTE
Kite - Sierra Trading Lakewood,unknown,4 Lakewood Towne Center Sierra Trading Construction Rules and Regulations,4 Lakewood Towne Center Sierra Trading Construction Rules and Regulations,unknown,bid_pdf,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/Email to Subs/4 - Lakewood Towne Center - Sierra Trading - Construction Rules and Regulations.pdf,TBD,.pdf,73550,unparsed,Email to Subs/4 - Lakewood Towne Center - Sierra Trading - Construction Rules and Regulations.pdf,NON_QUOTE
Kite - Sierra Trading Lakewood,unknown,4 Lakewood Towne Center Sierra Trading Construction Rules and Regulations,4 Lakewood Towne Center Sierra Trading Construction Rules and Regulations,unknown,bid_pdf,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/Sierra Trading Company/4 - Lakewood Towne Center - Sierra Trading - Construction Rules and Regulations.pdf,TBD,.pdf,73550,unparsed,Sierra Trading Company/4 - Lakewood Towne Center - Sierra Trading - Construction Rules and Regulations.pdf,NON_QUOTE
Kite - Sierra Trading Lakewood,unknown,5 Lakewood Towne Center Sierra Trading KRG RFI Form Bidding Phase,5 Lakewood Towne Center Sierra Trading KRG RFI Form Bidding Phase,unknown,bid_pdf,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/Email to Subs/5 -  Lakewood Towne Center - Sierra Trading - KRG RFI Form Bidding Phase.pdf,TBD,.pdf,68535,unparsed,Email to Subs/5 -  Lakewood Towne Center - Sierra Trading - KRG RFI Form Bidding Phase.pdf,NON_QUOTE
Kite - Sierra Trading Lakewood,unknown,5 Lakewood Towne Center Sierra Trading KRG RFI Form Bidding Phase,5 Lakewood Towne Center Sierra Trading KRG RFI Form Bidding Phase,unknown,bid_pdf,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/Sierra Trading Company/5 -  Lakewood Towne Center - Sierra Trading - KRG RFI Form Bidding Phase.pdf,TBD,.pdf,68535,unparsed,Sierra Trading Company/5 -  Lakewood Towne Center - Sierra Trading - KRG RFI Form Bidding Phase.pdf,NON_QUOTE
Kite - Sierra Trading Lakewood,unknown,Archer Construction,Archer Construction,unknown,bid_pdf,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/Sub Bids/Archer Construction.pdf,TBD,.pdf,242630,unparsed,Sub Bids/Archer Construction.pdf,QUOTE_APPROVED
Kite - Sierra Trading Lakewood,unknown,B&H Fire,B&H Fire,unknown,bid_pdf,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/Sub Bids/B&H Fire.pdf,TBD,.pdf,165048,unparsed,Sub Bids/B&H Fire.pdf,QUOTE_APPROVED
Kite - Sierra Trading Lakewood,unknown,BUDGET,BUDGET,unknown,bid_pdf,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/BUDGET.pdf,TBD,.pdf,117763,unparsed,BUDGET.pdf,NON_QUOTE
Kite - Sierra Trading Lakewood,unknown,BUDGET R1,BUDGET R1,unknown,bid_pdf,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/BUDGET R1.pdf,TBD,.pdf,118856,unparsed,BUDGET R1.pdf,NON_QUOTE
Kite - Sierra Trading Lakewood,unknown,Copy of 2 Lakewood Towne Center Sierra Trading KRG Form Part B Exhibits (Revised),Copy of 2 Lakewood Towne Center Sierra Trading KRG Form Part B Exhibits (Revised),unknown,bid_pdf,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/Copy of 2 - Lakewood Towne Center - Sierra Trading - KRG Bid Form Part B- Exhibits (Revised).pdf,TBD,.pdf,45424,unparsed,Copy of 2 - Lakewood Towne Center - Sierra Trading - KRG Bid Form Part B- Exhibits (Revised).pdf,NON_QUOTE
